Year,Region,Population Growth (%),Urbanization Rate (%),Infrastructure Growth (%),Poverty Rate (%),Slum Growth (%)
2018,"Area Code: 462001, Bhopal",1.21,2.48,2.86,28.42,4.55
2019,"Area Code: 462001, Bhopal",0.66,1.05,4.93,29.13,2.69
2020,"Area Code: 462001, Bhopal",0.58,2.24,2.88,28.73,4.18
2021,"Area Code: 462001, Bhopal",1.47,1.57,4.1,15.78,1.15
2022,"Area Code: 462001, Bhopal",1.26,1.98,4.29,27.31,2.42
2023,"Area Code: 462001, Bhopal",1.17,1.94,2.97,24.87,3.09
2024,"Area Code: 462001, Bhopal",1.87,2.3,2.64,13.3,2.49
2025,"Area Code: 462001, Bhopal",1.02,1.81,2.55,29.56,1.58
1995,"Area Code: 501400, Medchal",1.35,1.68,2.03,14.01,2.62
1996,"Area Code: 501400, Medchal",0.8,2.15,4.14,27.12,3.59
1997,"Area Code: 501400, Medchal",1.53,2.22,4.96,15.22,2.07
1998,"Area Code: 501400, Medchal",0.69,1.97,2.29,15.4,2.93
1999,"Area Code: 501400, Medchal",1.94,2.93,4.23,17.79,4.46
2000,"Area Code: 501400, Medchal",1.81,2.82,3.92,14.04,1.36
2001,"Area Code: 501400, Medchal",1.87,1.11,2.89,19.74,1.09
2002,"Area Code: 501400, Medchal",1.86,1.57,2.09,29.87,2.25
2003,"Area Code: 501400, Medchal",1.82,1.91,3.99,14.82,3.01
2004,"Area Code: 501400, Medchal",0.89,2.9,2.18,15.49,4.57
2005,"Area Code: 501400, Medchal",1.22,2.2,3.96,11.42,1.07
2006,"Area Code: 501400, Medchal",1.91,1.54,3.14,23.64,1.95
2007,"Area Code: 501400, Medchal",1.6,1.92,4.57,15.57,1.82
2008,"Area Code: 501400, Medchal",1.75,1.65,3.24,25.87,3.54
2009,"Area Code: 501400, Medchal",1.16,1.5,4.29,13.61,4.71
2010,"Area Code: 501400, Medchal",0.73,2.61,3.27,13.72,2.61
2011,"Area Code: 501400, Medchal",0.83,1.27,2.72,27.35,1.42
2012,"Area Code: 501400, Medchal",1.96,1.01,3.97,27.13,4.74
2013,"Area Code: 501400, Medchal",0.72,2.4,2.32,17.05,3.93
2014,"Area Code: 501400, Medchal",1.02,1.63,2.35,11.33,1.46
2015,"Area Code: 501400, Medchal",1.81,1.02,4.08,25.37,3.27
2016,"Area Code: 501400, Medchal",1.6,2.3,3.37,17.65,4.77
2017,"Area Code: 501400, Medchal",1.96,2.3,2.59,18.96,2.99
2018,"Area Code: 501400, Medchal",1.64,2.34,3.54,23.61,1.1
2019,"Area Code: 501400, Medchal",1.66,1.42,3.97,12.28,1.46
2020,"Area Code: 501400, Medchal",0.55,2.82,3.81,17.24,4.15
2021,"Area Code: 501400, Medchal",1.44,2.24,3.46,10.16,2.03
2022,"Area Code: 501400, Medchal",0.66,2.32,2.75,19,2.41
2023,"Area Code: 501400, Medchal",0.71,2.92,4.8,11.69,4.31
2024,"Area Code: 501400, Medchal",1.23,2.55,2.45,12.65,4.56
2025,"Area Code: 501400, Medchal",1.85,1.93,4.61,23.35,1.74
1995,"Area Code: 440013, Nagpur",1.66,1.76,4.13,18.06,1.44
1996,"Area Code: 440013, Nagpur",0.66,1.24,2.1,20.66,3.69
1997,"Area Code: 440013, Nagpur",0.69,2.22,3.79,12.94,2.62
1998,"Area Code: 440013, Nagpur",1.63,1.03,2.44,29.92,3.93
1999,"Area Code: 440013, Nagpur",1.2,2.26,4.54,26.85,2.3
2000,"Area Code: 440013, Nagpur",1.24,2.28,2.22,28.92,2.73
2001,"Area Code: 440013, Nagpur",1.06,2.81,2.35,10.79,3.74
2002,"Area Code: 440013, Nagpur",1.08,2.53,2.21,17.68,1.94
2003,"Area Code: 440013, Nagpur",1.61,1.45,3.37,26.38,4.66
2004,"Area Code: 440013, Nagpur",1.58,1.86,3.72,23.79,4.5
2005,"Area Code: 440013, Nagpur",1.83,2.86,4.43,12.94,3.99
2006,"Area Code: 440013, Nagpur",1.72,2.76,4.77,20.18,3.62
2007,"Area Code: 440013, Nagpur",0.51,2.15,3.42,29.25,4.61
2008,"Area Code: 440013, Nagpur",1.7,1.11,3.21,23.92,1.12
2009,"Area Code: 440013, Nagpur",0.85,2.78,2.39,11.03,3.32
2010,"Area Code: 440013, Nagpur",1.92,2.67,4.92,25.07,2.75
2011,"Area Code: 440013, Nagpur",1.92,1.85,3.05,18.96,4.26
2012,"Area Code: 440013, Nagpur",1.88,1.72,3.39,27.97,1.19
2013,"Area Code: 440013, Nagpur",1.68,1.91,3.13,18.94,2.67
2014,"Area Code: 440013, Nagpur",1.63,2.86,3.47,26.65,3.93
2015,"Area Code: 440013, Nagpur",1,2.17,4,10.47,2.58
2016,"Area Code: 440013, Nagpur",1.99,2.27,3,15,1.84
2017,"Area Code: 440013, Nagpur",1.1,1.39,2.41,17.28,3.43
2018,"Area Code: 440013, Nagpur",0.72,1.09,2.1,15.35,1.76
2019,"Area Code: 440013, Nagpur",1.31,1.91,2.97,26.67,3.02
2020,"Area Code: 440013, Nagpur",0.64,1.59,4.92,29.54,2.02
2021,"Area Code: 440013, Nagpur",0.75,1.99,3.44,18.2,3.12
2022,"Area Code: 440013, Nagpur",0.85,1.23,3.71,28.65,1.55
2023,"Area Code: 440013, Nagpur",1.56,1.88,2.88,27.06,2.83
2024,"Area Code: 440013, Nagpur",1.37,1.89,2.24,21.9,2.68
2025,"Area Code: 440013, Nagpur",0.63,2.19,2.03,14.17,4.12
1995,"Saket Nagar, Bhopal",1.75,1.21,4.98,22.19,1.89
1996,"Saket Nagar, Bhopal",1.51,2.71,2.34,28.33,4.68
1997,"Saket Nagar, Bhopal",0.52,2.8,4.84,10.75,2.18
1998,"Saket Nagar, Bhopal",1.06,1.7,4.28,17.16,4.83
1999,"Saket Nagar, Bhopal",1.99,1.63,3.53,21.15,3.32
2000,"Saket Nagar, Bhopal",1.06,1.33,2.16,12.13,4.61
2001,"Saket Nagar, Bhopal",0.92,1.15,3.87,11.51,1.28
2002,"Saket Nagar, Bhopal",1.43,2.18,2.12,19.21,2.74
2003,"Saket Nagar, Bhopal",1.32,2.48,2.85,18.66,4.17
2004,"Saket Nagar, Bhopal",1.88,2.78,3.43,20.42,3.12
2005,"Saket Nagar, Bhopal",1.8,2.68,2.93,13.26,2.52
2006,"Saket Nagar, Bhopal",0.93,2.9,2.8,13.62,4.6
2007,"Saket Nagar, Bhopal",0.63,1.52,3.32,21.9,2.31
2008,"Saket Nagar, Bhopal",1.24,1.4,3.72,18.16,4.4
2009,"Saket Nagar, Bhopal",1.12,1.89,3.78,12.46,1.63
2010,"Saket Nagar, Bhopal",1.69,1.55,4.05,11.95,4.29
2011,"Saket Nagar, Bhopal",1.98,1.75,3.52,18.85,4.58
2012,"Saket Nagar, Bhopal",0.51,2.31,3.96,17.65,1.88
2013,"Saket Nagar, Bhopal",0.86,2.6,2.2,21.28,2.23
2014,"Saket Nagar, Bhopal",0.9,2.01,4.69,22.36,4.15
2015,"Saket Nagar, Bhopal",1.4,2.4,3.3,28.52,3.01
2016,"Saket Nagar, Bhopal",1.33,2.05,2.95,14.62,1.3
2017,"Saket Nagar, Bhopal",1.58,1.58,3.17,28.4,3.27
2018,"Saket Nagar, Bhopal",0.65,2.6,2.77,21.05,3.04
2019,"Saket Nagar, Bhopal",0.86,1.23,2.63,11.95,2.1
2020,"Saket Nagar, Bhopal",2,1.8,4.59,20.98,3.67
2021,"Saket Nagar, Bhopal",0.73,1.55,3.53,27.62,1.17
2022,"Saket Nagar, Bhopal",1.26,1.1,3.37,22.58,3.98
2023,"Saket Nagar, Bhopal",0.71,1.33,3.41,29.96,2.42
2024,"Saket Nagar, Bhopal",1.14,1.86,2.24,25.48,2.01
2025,"Saket Nagar, Bhopal",1.56,1.95,3.84,11.08,4.56
1995,"Indus Town, Ratanpur",0.92,2.87,2.61,13.33,1.73
1996,"Indus Town, Ratanpur",1.59,2.78,3.18,12.72,3.34
1997,"Indus Town, Ratanpur",0.81,1.13,4.66,27.42,4.9
1998,"Indus Town, Ratanpur",1.21,1.59,4.31,13.61,1.97
1999,"Indus Town, Ratanpur",0.88,2.9,4.19,12.67,1.37
2000,"Indus Town, Ratanpur",1.76,2.6,4.01,13.92,2.92
2001,"Indus Town, Ratanpur",1.4,2.86,2.51,20.31,1.63
2002,"Indus Town, Ratanpur",1.17,1.4,4.51,15.09,2.67
2003,"Indus Town, Ratanpur",1.11,2.73,4.27,11.15,1.27
2004,"Indus Town, Ratanpur",1.33,1.86,2.83,25.85,1.51
2005,"Indus Town, Ratanpur",1.96,1.05,2.35,16.23,3.04
2006,"Indus Town, Ratanpur",0.82,2.47,3.07,10.77,4.51
2007,"Indus Town, Ratanpur",1.92,2.24,4.42,12.42,2.08
2008,"Indus Town, Ratanpur",0.99,2.92,3.54,10.15,2.52
2009,"Indus Town, Ratanpur",0.51,1.48,3.36,16.47,1.13
2010,"Indus Town, Ratanpur",0.67,2.1,4.09,18.09,3.93
2011,"Indus Town, Ratanpur",0.74,1.24,4.52,16.78,2.73
2012,"Indus Town, Ratanpur",1.92,1.85,2.01,28.76,1.06
2013,"Indus Town, Ratanpur",1.49,1.65,3.41,20.95,2.63
2014,"Indus Town, Ratanpur",1.66,2.86,2.26,26.01,1.51
2015,"Indus Town, Ratanpur",0.62,2.91,3.47,13.05,3.28
2016,"Indus Town, Ratanpur",0.89,1.93,3.87,27.39,1.01
2017,"Indus Town, Ratanpur",0.82,1.19,2.29,28.92,4.74
2018,"Indus Town, Ratanpur",1.62,2.29,4.54,11.17,1.48
2019,"Indus Town, Ratanpur",0.98,2.66,3.42,20.07,1.92
2020,"Indus Town, Ratanpur",1.47,2.78,2.99,22.38,2.33
2021,"Indus Town, Ratanpur",1.69,1.95,3.02,18.4,1.36
2022,"Indus Town, Ratanpur",1.8,2.92,3.43,14.43,3.66
2023,"Indus Town, Ratanpur",1.18,1.5,2.12,27.79,4.19
2024,"Indus Town, Ratanpur",1.74,1.88,4.26,21.62,2.5
2025,"Indus Town, Ratanpur",1.76,3,4.7,25.52,3.99
1995,"L Ward, Mumbai",1.24,1.22,4.01,24.78,3
1996,"L Ward, Mumbai",1.47,1.35,3.1,13.24,2.55
1997,"L Ward, Mumbai",1.34,1.89,3.78,20.04,2.27
1998,"L Ward, Mumbai",0.72,1.51,2.6,24.15,4.28
1999,"L Ward, Mumbai",1.58,2.29,2.92,24.22,3.42
2000,"L Ward, Mumbai",0.57,2.82,2.24,20.05,3.05
2001,"L Ward, Mumbai",1.76,2.83,4.82,21.39,3.72
2002,"L Ward, Mumbai",0.63,1.98,4.69,19.11,1.28
2003,"L Ward, Mumbai",0.8,1.86,2.71,17.85,2.33
2004,"L Ward, Mumbai",0.98,1.18,4.65,23.85,3.49
2005,"L Ward, Mumbai",1.41,1.79,4.47,28.6,1.02
2006,"L Ward, Mumbai",0.62,2.35,2.71,28.23,3.67
2007,"L Ward, Mumbai",1.05,1.83,4.07,12.82,4.53
2008,"L Ward, Mumbai",0.51,2.96,2.5,24.84,1.16
2009,"L Ward, Mumbai",1.15,2.26,2.21,18.87,2.21
2010,"L Ward, Mumbai",1.25,2.01,4.36,12.47,1.33
2011,"L Ward, Mumbai",1.1,2.78,4.57,21.2,4.56
2012,"L Ward, Mumbai",1.71,1.56,2.51,16.02,1.91
2013,"L Ward, Mumbai",1.43,2.17,3.8,13.79,4.17
2014,"L Ward, Mumbai",1.15,1.94,4.99,15.65,2.58
2015,"L Ward, Mumbai",1.51,2.76,2.38,24.7,4.67
2016,"L Ward, Mumbai",1.13,1.57,4.03,14.92,2.54
2017,"L Ward, Mumbai",1.85,2.18,2.28,16.59,3.51
2018,"L Ward, Mumbai",1.22,2.32,4.28,19.61,4.95
2019,"L Ward, Mumbai",1.87,1.12,2.8,16.01,1.74
2020,"L Ward, Mumbai",0.97,1.85,2.15,12.55,1.38
2021,"L Ward, Mumbai",0.57,1.96,3,28.71,1.41
2022,"L Ward, Mumbai",1.89,1.17,3.86,14.95,4.31
2023,"L Ward, Mumbai",0.59,2.91,2.14,14.82,2.86
2024,"L Ward, Mumbai",1.63,2.9,3.28,25.15,3.91
2025,"L Ward, Mumbai",1.36,2.38,2.11,18.83,4.14
1995,"M/W Ward, Mumbai",1.56,1.78,4.94,29.31,4.2
1996,"M/W Ward, Mumbai",1.93,1.41,4.25,16.43,3.9
1997,"M/W Ward, Mumbai",1.06,1.58,4.88,14.2,4.03
1998,"M/W Ward, Mumbai",1.51,1.61,3.38,12.86,4.68
1999,"M/W Ward, Mumbai",1.95,2.46,4.55,11.65,2.54
2000,"M/W Ward, Mumbai",1,2.13,2.55,21.27,3.62
2001,"M/W Ward, Mumbai",0.7,1.26,2.11,25.22,2.32
2002,"M/W Ward, Mumbai",0.84,2.56,2.43,18.54,3.98
2003,"M/W Ward, Mumbai",1.36,2.11,2.47,13.62,3.33
2004,"M/W Ward, Mumbai",0.54,2.74,3.05,18.33,2.03
2005,"M/W Ward, Mumbai",1.82,2.29,3.35,21.71,2.52
2006,"M/W Ward, Mumbai",1.2,1.72,3.23,16.3,1.31
2007,"M/W Ward, Mumbai",0.56,1.35,2.75,27.81,3.44
2008,"M/W Ward, Mumbai",1.94,1.68,3.21,24.4,3.31
2009,"M/W Ward, Mumbai",1.29,2.15,3.75,25.31,3.67
2010,"M/W Ward, Mumbai",1.94,2.9,3.27,10.71,1.04
2011,"M/W Ward, Mumbai",0.68,1.15,3.12,11.06,3.5
2012,"M/W Ward, Mumbai",0.79,2.03,2.31,26.55,4.12
2013,"M/W Ward, Mumbai",1.08,2.82,2.56,26.28,3.18
2014,"M/W Ward, Mumbai",0.99,1.17,2.51,27.26,3.43
2015,"M/W Ward, Mumbai",0.86,1.99,2.32,11.98,4.63
2016,"M/W Ward, Mumbai",1.19,1.72,4.85,17.98,2.34
2017,"M/W Ward, Mumbai",0.91,2.13,3.68,10.32,3.62
2018,"M/W Ward, Mumbai",1.68,2.23,4.61,15.53,1.77
2019,"M/W Ward, Mumbai",1.55,1.38,2.27,11.93,4.07
2020,"M/W Ward, Mumbai",0.54,1.58,2.39,25.1,3.01
2021,"M/W Ward, Mumbai",0.81,2.5,4.25,20.46,2.1
2022,"M/W Ward, Mumbai",1.38,2.87,2.15,15.34,2.14
2023,"M/W Ward, Mumbai",1.45,2.3,2.62,14.32,4.71
2024,"M/W Ward, Mumbai",1.63,2.87,4.49,18.04,1.49
2025,"M/W Ward, Mumbai",1.44,1.7,3.28,18.52,4.75
1995,"M/W Ward, Mumbai",1.89,2,2.66,17.83,3.46
1996,"M/W Ward, Mumbai",1.07,2.42,4.39,14.19,2.62
1997,"M/W Ward, Mumbai",1.94,1.5,3.04,10.71,2.33
1998,"M/W Ward, Mumbai",1.06,1.2,2,21.51,2.21
1999,"M/W Ward, Mumbai",0.53,2.72,3.75,13.42,4.46
2000,"M/W Ward, Mumbai",0.88,1.45,4.68,13.59,4.52
2001,"M/W Ward, Mumbai",1.7,1.62,2.1,11.65,1.44
2002,"M/W Ward, Mumbai",1.84,1.81,2.1,21.13,1.83
2003,"M/W Ward, Mumbai",0.85,1.32,4.29,10.01,2.76
2004,"M/W Ward, Mumbai",0.63,2.1,3.04,10.57,2.84
2005,"M/W Ward, Mumbai",1.36,1.5,4.3,17.42,4
2006,"M/W Ward, Mumbai",1.37,2.74,3.64,13.71,4.29
2007,"M/W Ward, Mumbai",1.67,2.94,2.28,21.82,2.97
2008,"M/W Ward, Mumbai",1.51,2.96,3.6,23.71,2.39
2009,"M/W Ward, Mumbai",0.95,1.67,2.12,15.69,1.69
2010,"M/W Ward, Mumbai",1.19,1.92,4.3,20.05,2.85
2011,"M/W Ward, Mumbai",0.85,2.7,2.27,29.65,2.9
2012,"M/W Ward, Mumbai",0.78,1.71,2.05,13.33,2.34
2013,"M/W Ward, Mumbai",1.33,1.26,4.03,26.89,3.29
2014,"M/W Ward, Mumbai",0.95,1.24,2.05,24.64,3.51
2015,"M/W Ward, Mumbai",1.21,1.2,2.62,26.3,2.92
2016,"M/W Ward, Mumbai",1.94,3,4.4,15.16,1.92
2017,"M/W Ward, Mumbai",0.88,2.97,3.01,24.13,4.84
2018,"M/W Ward, Mumbai",1.73,2.2,2.51,13.5,2.97
2019,"M/W Ward, Mumbai",1.93,2.81,2.5,15.75,3.36
2020,"M/W Ward, Mumbai",1.22,1.24,3.11,29.09,4.81
2021,"M/W Ward, Mumbai",1.34,2.27,2.67,24.84,1.21
2022,"M/W Ward, Mumbai",0.83,1.01,3.16,27.01,4.93
2023,"M/W Ward, Mumbai",1.5,2.49,2.79,20.41,3.95
2024,"M/W Ward, Mumbai",1.25,1.18,4.22,14.39,1.39
2025,"M/W Ward, Mumbai",1.22,1.15,3.89,22.81,2.03
1995,"Shivajinagar, Bengaluru",0.98,2.7,2.07,22.51,2.58
1996,"Shivajinagar, Bengaluru",1.5,1.4,2.72,21.74,4.92
1997,"Shivajinagar, Bengaluru",1.96,1.5,2.31,21.81,2.68
1998,"Shivajinagar, Bengaluru",1.64,2.06,3.53,22.93,1.51
1999,"Shivajinagar, Bengaluru",1.52,1.98,4.46,12.77,2.2
2000,"Shivajinagar, Bengaluru",1.93,2.11,4.79,23.78,4.71
2001,"Shivajinagar, Bengaluru",0.98,1.18,4.41,26.09,3.48
2002,"Shivajinagar, Bengaluru",1.37,2.83,2.53,22.33,1.2
2003,"Shivajinagar, Bengaluru",0.71,1.87,4.46,24.66,4.9
2004,"Shivajinagar, Bengaluru",0.57,1.76,2.48,10.74,2.06
2005,"Shivajinagar, Bengaluru",0.87,1.84,2.42,19.77,4.68
2006,"Shivajinagar, Bengaluru",1.62,2.68,4.41,17.79,3.84
2007,"Shivajinagar, Bengaluru",1.63,1.41,4.58,19.15,1.07
2008,"Shivajinagar, Bengaluru",1.47,2.35,3.66,14.25,2.93
2009,"Shivajinagar, Bengaluru",1.1,2.95,4.47,25.24,1.72
2010,"Shivajinagar, Bengaluru",1,1.76,3.48,10.6,3.37
2011,"Shivajinagar, Bengaluru",1.04,2.12,2.03,16.43,4.07
2012,"Shivajinagar, Bengaluru",1.25,2.58,4.1,27.1,1.03
2013,"Shivajinagar, Bengaluru",0.89,2.1,4.82,23.6,2.83
2014,"Shivajinagar, Bengaluru",0.7,1.99,3.32,25.57,2.65
2015,"Shivajinagar, Bengaluru",0.98,1.18,2.14,18.78,2.39
2016,"Shivajinagar, Bengaluru",1.33,2.42,2.12,19.92,4.45
2017,"Shivajinagar, Bengaluru",1.18,2.04,3.46,17.8,1.44
2018,"Shivajinagar, Bengaluru",0.69,1.36,4.38,15.51,4.79
2019,"Shivajinagar, Bengaluru",1.72,2.37,4.16,10.95,3.27
2020,"Shivajinagar, Bengaluru",1.91,1.08,2.87,11.03,3.28
2021,"Shivajinagar, Bengaluru",0.67,1.96,4.16,13.29,4.02
2022,"Shivajinagar, Bengaluru",0.59,1.3,2.84,25.92,4.4
2023,"Shivajinagar, Bengaluru",0.83,1.19,4.54,22.99,1.63
2024,"Shivajinagar, Bengaluru",1.34,2.74,2.21,11.67,2.09
2025,"Shivajinagar, Bengaluru",1.48,1.36,4.45,25.01,3.24
1995,"Cooke Town, Bengaluru",1.13,1.17,3.37,20.13,3.46
1996,"Cooke Town, Bengaluru",0.6,1.06,3.26,13.78,4.04
1997,"Cooke Town, Bengaluru",1.5,1.65,2.14,13.65,3.77
1998,"Cooke Town, Bengaluru",1.99,1.65,4.41,27.34,1.19
1999,"Cooke Town, Bengaluru",1.87,1.93,4.89,20.77,1.94
2000,"Cooke Town, Bengaluru",1.96,1.49,4.65,13.46,3.7
2001,"Cooke Town, Bengaluru",1.12,2.94,2.55,18.18,3.56
2002,"Cooke Town, Bengaluru",1.97,1.61,3.19,19.24,2.01
2003,"Cooke Town, Bengaluru",1.73,1.18,4.11,20.68,1.97
2004,"Cooke Town, Bengaluru",1.24,2.66,3.34,12.44,1.16
2005,"Cooke Town, Bengaluru",1.67,1.66,4.79,22.34,2.75
2006,"Cooke Town, Bengaluru",1.35,1.91,4.72,19.16,1.42
2007,"Cooke Town, Bengaluru",1.4,2.25,4.3,28.67,2.77
2008,"Cooke Town, Bengaluru",1.03,1.98,4.7,29.6,4.88
2009,"Cooke Town, Bengaluru",0.84,1.99,2.78,17.36,1.13
2010,"Cooke Town, Bengaluru",0.74,1.79,3.09,15.58,1.92
2011,"Cooke Town, Bengaluru",1.62,1.59,4.12,17.37,4.21
2012,"Cooke Town, Bengaluru",0.75,1.32,4.04,28.3,1.57
2013,"Cooke Town, Bengaluru",0.61,2.87,2.35,15.01,4.72
2014,"Cooke Town, Bengaluru",1.7,1.69,4.86,21.36,1.29
2015,"Cooke Town, Bengaluru",1.55,2.07,3.72,29.88,1.61
2016,"Cooke Town, Bengaluru",1.49,1.92,2.82,23.87,3.67
2017,"Cooke Town, Bengaluru",1.78,2.76,3.69,16.51,3.12
2018,"Cooke Town, Bengaluru",1.04,1.55,3.65,23.16,3.36
2019,"Cooke Town, Bengaluru",1.93,1.6,3.12,23.35,3.4
2020,"Cooke Town, Bengaluru",0.5,1.62,2.76,26.8,4.46
2021,"Cooke Town, Bengaluru",0.93,1.2,2.62,13.53,1.95
2022,"Cooke Town, Bengaluru",0.85,1.96,2.96,21.2,2.38
2023,"Cooke Town, Bengaluru",1.72,2.9,3.21,10.99,1.96
2024,"Cooke Town, Bengaluru",0.65,1.69,3.94,20.38,1.97
2025,"Cooke Town, Bengaluru",1.65,1.26,2.68,23.52,1.79
1995,"JC Nagar, Bengaluru",0.98,1.45,2.24,11.15,2.22
1996,"JC Nagar, Bengaluru",1.6,1.41,2.9,28.1,3.56
1997,"JC Nagar, Bengaluru",1.88,2.82,2.19,29.1,1.2
1998,"JC Nagar, Bengaluru",1.89,2.09,3.6,24.27,4.52
1999,"JC Nagar, Bengaluru",1.43,1.85,2.34,25.78,1.51
2000,"JC Nagar, Bengaluru",1.59,2.06,3.16,22.26,4.09
2001,"JC Nagar, Bengaluru",1.91,1.53,4.84,29.22,4.25
2002,"JC Nagar, Bengaluru",1.82,2.38,2.12,21.5,3.99
2003,"JC Nagar, Bengaluru",1.91,2.14,4.38,24.1,2.12
2004,"JC Nagar, Bengaluru",0.73,2.5,2.7,14.89,3.58
2005,"JC Nagar, Bengaluru",1.68,2.16,4.65,14.23,2.01
2006,"JC Nagar, Bengaluru",1.46,2.66,3.62,10.21,3.71
2007,"JC Nagar, Bengaluru",1.72,1.55,2.16,20.36,1.17
2008,"JC Nagar, Bengaluru",1.12,1.04,2.67,17.78,1.45
2009,"JC Nagar, Bengaluru",0.67,2.65,2.12,23.78,4.26
2010,"JC Nagar, Bengaluru",0.7,1.39,3.92,16.31,2.91
2011,"JC Nagar, Bengaluru",1.75,1.28,3.86,28.85,1.23
2012,"JC Nagar, Bengaluru",0.59,2.11,4.88,14.41,2.32
2013,"JC Nagar, Bengaluru",0.65,1.72,2.13,17.78,3.22
2014,"JC Nagar, Bengaluru",1.96,2.64,4.47,14.56,1.35
2015,"JC Nagar, Bengaluru",1.4,2.04,3.55,12.18,2.98
2016,"JC Nagar, Bengaluru",0.73,1.84,2.19,27.14,1.05
2017,"JC Nagar, Bengaluru",1.91,2.73,4.26,29.65,1.22
2018,"JC Nagar, Bengaluru",1.46,2.7,2.38,21.7,2.58
2019,"JC Nagar, Bengaluru",1.15,2.83,3.62,11.87,4.75
2020,"JC Nagar, Bengaluru",0.78,2.79,4.91,27.56,3.71
2021,"JC Nagar, Bengaluru",1.62,2.4,3.38,15.49,2.14
2022,"JC Nagar, Bengaluru",1.6,2.25,3.75,23.05,4.1
2023,"JC Nagar, Bengaluru",1.62,1.21,3.09,15.28,3.15
2024,"JC Nagar, Bengaluru",0.59,2.52,2.32,15.43,4.13
2025,"JC Nagar, Bengaluru",0.58,2.32,4.77,22.35,3.85
1995,"Area Code: 382350, Ahmedabad",1.16,1.93,2.93,27.55,3.27
1996,"Area Code: 382350, Ahmedabad",1.23,1.93,4.81,24.47,1.58
1997,"Area Code: 382350, Ahmedabad",1.16,1.58,4.96,18.31,1.27
1998,"Area Code: 382350, Ahmedabad",1.12,1.64,3.8,14.52,1.14
1999,"Area Code: 382350, Ahmedabad",0.64,1.57,3.04,26.69,2.08
2000,"Area Code: 382350, Ahmedabad",0.55,2.56,4.61,19.85,2.14
2001,"Area Code: 382350, Ahmedabad",1.66,1.02,4.77,27.31,3.18
2002,"Area Code: 382350, Ahmedabad",0.92,1.07,5,25.24,2.35
2003,"Area Code: 382350, Ahmedabad",0.53,2.28,4.96,24.14,1.33
2004,"Area Code: 382350, Ahmedabad",1.1,1.22,4.74,16.61,3.93
2005,"Area Code: 382350, Ahmedabad",0.63,1.26,4.04,26.87,1.81
2006,"Area Code: 382350, Ahmedabad",1.13,2.24,4.39,22.56,1.38
2007,"Area Code: 382350, Ahmedabad",1.31,2.77,4.6,21.7,4.98
2008,"Area Code: 382350, Ahmedabad",0.66,1.96,4.33,12.82,4.89
2009,"Area Code: 382350, Ahmedabad",1.03,1.7,2.64,15.76,3.31
2010,"Area Code: 382350, Ahmedabad",1.14,1.39,4.43,11.24,4.34
2011,"Area Code: 382350, Ahmedabad",0.91,1.99,3.14,21.41,4.18
2012,"Area Code: 382350, Ahmedabad",1.98,1.61,3.66,19.32,5
2013,"Area Code: 382350, Ahmedabad",1.71,1.79,3.43,14.92,4.02
2014,"Area Code: 382350, Ahmedabad",1.77,2.93,3.7,23.41,2.78
2015,"Area Code: 382350, Ahmedabad",1.41,1.7,4.21,10.45,1.11
2016,"Area Code: 382350, Ahmedabad",1.57,2.86,3.9,24.53,4.3
2017,"Area Code: 382350, Ahmedabad",1.04,1.22,4.8,28.77,2.77
2018,"Area Code: 382350, Ahmedabad",0.83,2.78,4.13,10.16,1.43
2019,"Area Code: 382350, Ahmedabad",1.97,1.08,2.85,20.97,1.74
2020,"Area Code: 382350, Ahmedabad",0.85,1.71,2.81,26.07,3
2021,"Area Code: 382350, Ahmedabad",0.92,1.63,2.12,10.99,3.87
2022,"Area Code: 382350, Ahmedabad",0.67,1.95,4.53,17.37,2.38
2023,"Area Code: 382350, Ahmedabad",1.81,2.73,4.64,21.44,4.81
2024,"Area Code: 382350, Ahmedabad",1.73,1.83,3.89,12.44,3.21
2025,"Area Code: 382350, Ahmedabad",0.89,1.57,2.38,17.16,2.93
1995,"Area Code: 382350, Ahmedabad",1.02,1.78,4.67,21.76,4.04
1996,"Area Code: 382350, Ahmedabad",1.51,2.06,4.38,29.41,4.87
1997,"Area Code: 382350, Ahmedabad",1.68,1.97,2.49,10.89,1.93
1998,"Area Code: 382350, Ahmedabad",1.01,1.26,2.67,11.67,3.09
1999,"Area Code: 382350, Ahmedabad",0.69,2.49,3,23.44,4.53
2000,"Area Code: 382350, Ahmedabad",0.63,2.98,3.94,11.07,2.26
2001,"Area Code: 382350, Ahmedabad",1.83,2.19,2.86,28.81,4.15
2002,"Area Code: 382350, Ahmedabad",1.6,2.78,4.31,15.73,3.34
2003,"Area Code: 382350, Ahmedabad",1.76,1.36,2.49,13.18,1.78
2004,"Area Code: 382350, Ahmedabad",0.65,2.68,4.45,13.03,3.82
2005,"Area Code: 382350, Ahmedabad",1.44,1.55,2.68,15.01,3.92
2006,"Area Code: 382350, Ahmedabad",0.98,1.56,2.07,28.16,4.01
2007,"Area Code: 382350, Ahmedabad",1.21,2.89,2.88,23.49,2.22
2008,"Area Code: 382350, Ahmedabad",0.97,2.69,4.36,15.88,1.33
2009,"Area Code: 382350, Ahmedabad",1.04,2.52,2.3,23.44,4.56
2010,"Area Code: 382350, Ahmedabad",0.77,2.72,2.15,23.34,4.16
2011,"Area Code: 382350, Ahmedabad",1.17,1.41,4.77,10.4,3.22
2012,"Area Code: 382350, Ahmedabad",1.06,1.92,3.61,20.69,1.81
